Position,ISBN,Title,Contributor,Publisher,Year
1,9781846058912,Private down under ,James Patterson ,Century ,2013
2,9781409551294,Goldilocks and the three bears ,Susanna Davidson ,Usborne ,2012
3,9781780890265,Mistress ,James Patterson and David Ellis ,Century ,2013
4,9780857520647,The unlikely pilgrimage of Harold Fry ,Rachel Joyce ,Doubleday ,2012
5,9781444001150,Horrid Henry tricks the tooth fairy ,Francesca Simon; ill. by Tony Ross ,Orion Children's Books ,2013
6,9781847444233,The dying hours ,Mark Billingham ,Little Brown ,2013
7,9781444757347,The kill room ,Jeffery Deaver ,Hodder & Stoughton ,2013
8,9780749958138,Whiskey Beach ,Nora Roberts ,Piatkus ,2013
9,9780593065754,Never go back ,Lee Child ,Bantam Press ,2013
10,9780141324913,Rodrick rules ,Jeff Kinney ,Puffin ,2008
11,9780230760547,Dead man's time ,Peter James ,Macmillan ,2013
12,9781405004374,The three Billy Goats Gruff ,Nick Sharratt and Stephen Tucker ,Macmillan Children's ,2005
13,9780141322698,Charlie and the Great Glass Elevator ,Roald Dahl: ill. by Quentin Blake ,Penguin Books Ltd ,2007
14,9781444006841,Sophie's dance class ,Angela McAllister; ill. by Margaret Chamberlain ,Orion Children's Books ,2013
15,9781409531661,The gingerbread man ,Retold by Mairi Mackinnon; ill. by Elena Temporin ,Usborne ,2011
16,9780571270552,All the beggars riding ,Lucy Caldwell ,Faber ,2013
17,9781846555961,Police ,Jo Nesbo ; translated from the Norwegian by Don Bartlett ,Harvill Secker ,2013
18,9780593072493,Inferno ,Dan Brown ,Bantam ,2013
19,9781844882960,Mad about you ,Sinead Moriarty ,Penguin Ireland ,2013
20,9781846059988,Unseen ,Karin Slaughter ,Century ,2013
21,9781447229902,The hit ,David Baldacci ,Macmillan ,2013
22,9781409109594,The 9th girl ,Tami Hoag ,Orion ,2013
23,9781409550570,Cinderella ,Susanna Davidson; ill. by Fabiano Fiorin ,Usborne ,2013
24,9780141324906,Diary of a wimpy kid ,Jeff Kinney ,Puffin ,2008
25,9780723271581,Jack and the beanstalk : based on a traditional folk tale ,Retold by Iona Treahy ,Ladybird Books Ltd. ,0
26,9780593063170,First sight ,Danielle Steel ,Bantam Press ,2013
27,9781780890241,Second honeymoon ,James Patterson ,Century ,2013
28,9780141324920,The last straw ,Jeff Kinney ,Puffin ,2009
29,9781845069858,The real story of Cinderella and the ugly sisters ,Liz Pichon ,Little Tiger ,2010
30,9780141341576,Coco Caramel ,Cathy Cassidy ,Puffin ,2013
31,9781409312369,The three little pigs ,Based on a traditional folk tale ; retold by Nicola Baxter  ,Ladybird ,2012
32,9781444001204,Horrid Henry and the demon dinner lady ,Francesca Simon; ill. by Tony Ross ,Orion Children's ,2013
33,9781444780444,The October list ,Jeffery Deaver ,Hodder & Stoughton ,2013
34,9781408327456,Summer the Holiday Fairy ,Daisy Meadows; ill. by Georgie Ripper ,Orchard ,2013
35,9781408327432,Belle the birthday fairy ,Daisy Meadows ,Orchard ,2013
36,9781904550730,Hansel and Gretel ,"Alison Edgson, Andrea Petrlik and Jess Stockham ",Child's Play ,2005
37,9781848956650,It's my turn! ,David Bedford; ill. by Elaine Field ,Little Tiger ,2013
38,9780091953850,No man's nightingale ,Ruth Rendell ,Hutchinson ,2013
39,9781847445698,A sister's courage ,Catherine King ,Sphere ,2013
40,9780755378432,Things we never say ,Sheila O'Flanagan ,Headline Review ,2013
41,9781409113997,A week in winter ,Maeve Binchy ,Orion ,2012
42,9780141343006,Cabin fever ,Jeff Kinney ,Puffin ,2013
43,9781409535928,The runaway princess ,Rosie Dickins; ill. by Elodie Coudray ,Usborne ,2013
44,9781849837057,Daddy's gone a-hunting ,Mary Higgins Clark ,Simon & Schuster ,2013
45,9781444743531,Something in common ,Roisin Meaney ,Hachette Books Ireland ,2013
46,9780434021161,Bones of the lost ,Kathy Reichs ,William Heinemann ,2013
47,9781780890104,Gone ,James Patterson ; Michael Ledwidge ,Century ,2013
48,9781848956643,Fred ,Linda Jennings; ill. by Basia Bogdanowicz ,Little Tiger ,2013
49,9781444765564,Sycamore Row ,John Grisham ,Hodder & Stoughton ,2013
50,9781409551690,Little Red Riding Hood ,Retold by Susanna Davidson; based on a story by the Brothers Grimm,Usborne ,2013
51,9780723272878,Little creatures , ,Ladybird ,2013
52,9780755392681,Can't take my eyes off you ,Clare Dowling ,Headline Review ,2013
53,9780141341446,Four children and It ,Jacqueline Wilson ,Puffin ,2013
54,9781848956667,Rosie's special surprise ,Julia Rawlinson; ill. by Tim Warnes ,Little Tiger ,2013
55,9780552778091,The unlikely pilgrimage of Harold Fry ,Rachel Joyce ,Black Swan ,2013
56,9780749013899,Heir to greyladies ,Anna Jacobs ,Allison & Busby ,2013
57,9781409312154,My mummy , ,Ladybird ,2012
58,9781471125836,Wrongful death ,Lynda La Plante ,Simon & Schuster ,2013
59,9781444011371,Horrid Henry and the bogey babysitter ,Francesca Simon; ill. by Tony Ross ,Orion Children's Books ,2013
60,9780141047805,My husband next door ,Catherine Alliott ,Penguin ,2013
61,9781848271234,The rose garden ,Marita Conlon-McKenna ,Transworld Ireland ,2013
62,9780091952945,The servant girl ,Maggie Hope ,Ebury Press ,2013
63,9780007453535,Ratburger ,David Walliams ,HarperCollins Children's ,2012
64,9781444728934,Theodore Boone: the activist ,John Grisham ,Hodder & Stoughton ,2013
65,9781444704921,Children of the revolution ,Peter Robinson ,Hodder & Stoughton ,2013
66,9780751551648,Shades of deceit ,Mary Larkin ,Sphere ,2013
67,9780141346434,Danny the champion of the world   ,Roald Dahl ,Puffin ,2013
68,9781408842423,And the mountains echoed ,Khaled Hosseini ,Bloomsbury ,2013
69,9781848956674,What Bear Likes Best ,Alison Ritchie ,Magi/Little Tiger Press ,2013
70,9781846165801,The ugly duckling ,Ian Beck; orig. story by Hans Christian Andersen ,Orchard ,2007
71,9780593070154,Wedding night ,Sophie Kinsella ,Bantam ,2013
72,9780593063194,Winners ,Danielle Steel ,Bantam ,2013
73,9781780890135,Cross my heart ,James Patterson ,Cornerstone Digital ,2013
74,9781848956766,The wish cat ,Ragnhild Scamell; ill. by Gaby Hansen ,Little Tiger ,2013
75,9780007419890,The broken man ,Josephine Cox ,HarperCollins ,2013
76,9780099562597,The workhouse girl ,Dilly Court ,Arrow Books ,2013
77,9781408308448,Twelve dancing princesses ,Saviour Pirotta; ill. by Cecilia Johansson ,Orchard ,2013
78,9780755356997,Pray for the dying ,Quintin Jardine ,Headline ,2013
79,9780593065723,A wanted man ,Lee Child ,Bantam ,2012
80,9780751551716,Already dead ,Stephen Booth ,Sphere ,2013
81,9781848956735,Hopping mad! ,Michael Catchpool; ill. by David Roberts ,Little Tiger ,2013
82,9781405262125,Alfie's great escape ,Kate Irwin  ,Blue Bananas ,2013
83,9781848956728,"Where there's a bear, there's trouble! ",Michael Catchpool; ill.by Vanessa Cabban ,Little Tiger ,2013
84,9781444758566,The corporal's wife ,Gerald Seymour ,Hodder & Stoughton ,2013
85,9780755332281,The winter gathering ,Deirdre Purcell ,Headline Review ,2013
86,9781848956698,Newton ,Rory Tyger ,Little Tiger ,2013
87,9781904994862,Guinness World Records 2013 , ,Guinness World Records ,2012
88,9781846430756,Puss in Boots ,Jess Stockham ,Child's Internationa Play ,2007
89,9781409115052,A tap on the window ,Linwood Barclay ,Orion ,2013
90,9780141346458,Charlie and the chocolate factory ,Roald Dahl; ill. by Quentin Blake ,Puffin ,2013
91,9781444761245,The trader's gift ,Anna Jacobs ,Hodder & Stoughton ,2013
92,9781409322320,WOW Dinosaur ,D Palmer ,Dorling Kindersley ,2013
93,9780141331249,The Twits ,Roald Dahl; ill. by Quentin Blake ,Puffin ,2010
94,9781444007299,Blood and guts and rats' tail pizza ,Vivian French; ill. by Chris Fisher ,Orion Children's Books ,2013
95,9780230769151,W is for wasted ,Sue Grafton ,Mantle ,2013
96,9780141346441,Fantastic Mr Fox ,Roald Dahl; ill. by Quentin Blake ,Puffin ,2013
97,9781848956742,Little Mouse and the big red apple ,AH Benjamin; ill. by Gwyneth Williamson ,Little Tiger ,2013
98,9781409550587,Snow White and the seven dwarfs ,Lesley Sims; ill. by John Joven ,Usborne ,2013
99,9780141346410,The witches ,Roald Dahl; ill. by Quentin Blake ,Puffin Books ,2013
100,9780141346427,The BFG ,Roald Dahl; ill. by Quentin Blake ,Puffin ,2013Position,ISBN,Title,Contributor,Publisher,Year
1,9781846058912,Private down under ,James Patterson ,Century ,2013
2,9781409551294,Goldilocks and the three bears ,Susanna Davidson ,Usborne ,2012
3,9781780890265,Mistress ,James Patterson and David Ellis ,Century ,2013
4,9780857520647,The unlikely pilgrimage of Harold Fry ,Rachel Joyce ,Doubleday ,2012
5,9781444001150,Horrid Henry tricks the tooth fairy ,Francesca Simon; ill. by Tony Ross ,Orion Children's Books ,2013
6,9781847444233,The dying hours ,Mark Billingham ,Little Brown ,2013
7,9781444757347,The kill room ,Jeffery Deaver ,Hodder & Stoughton ,2013
8,9780749958138,Whiskey Beach ,Nora Roberts ,Piatkus ,2013
9,9780593065754,Never go back ,Lee Child ,Bantam Press ,2013
10,9780141324913,Rodrick rules ,Jeff Kinney ,Puffin ,2008
11,9780230760547,Dead man's time ,Peter James ,Macmillan ,2013
12,9781405004374,The three Billy Goats Gruff ,Nick Sharratt and Stephen Tucker ,Macmillan Children's ,2005
13,9780141322698,Charlie and the Great Glass Elevator ,Roald Dahl: ill. by Quentin Blake ,Penguin Books Ltd ,2007
14,9781444006841,Sophie's dance class ,Angela McAllister; ill. by Margaret Chamberlain ,Orion Children's Books ,2013
15,9781409531661,The gingerbread man ,Retold by Mairi Mackinnon; ill. by Elena Temporin ,Usborne ,2011
16,9780571270552,All the beggars riding ,Lucy Caldwell ,Faber ,2013
17,9781846555961,Police ,Jo Nesbo ; translated from the Norwegian by Don Bartlett ,Harvill Secker ,2013
18,9780593072493,Inferno ,Dan Brown ,Bantam ,2013
19,9781844882960,Mad about you ,Sinead Moriarty ,Penguin Ireland ,2013
20,9781846059988,Unseen ,Karin Slaughter ,Century ,2013
21,9781447229902,The hit ,David Baldacci ,Macmillan ,2013
22,9781409109594,The 9th girl ,Tami Hoag ,Orion ,2013
23,9781409550570,Cinderella ,Susanna Davidson; ill. by Fabiano Fiorin ,Usborne ,2013
24,9780141324906,Diary of a wimpy kid ,Jeff Kinney ,Puffin ,2008
25,9780723271581,Jack and the beanstalk : based on a traditional folk tale ,Retold by Iona Treahy ,Ladybird Books Ltd. ,0
26,9780593063170,First sight ,Danielle Steel ,Bantam Press ,2013
27,9781780890241,Second honeymoon ,James Patterson ,Century ,2013
28,9780141324920,The last straw ,Jeff Kinney ,Puffin ,2009
29,9781845069858,The real story of Cinderella and the ugly sisters ,Liz Pichon ,Little Tiger ,2010
30,9780141341576,Coco Caramel ,Cathy Cassidy ,Puffin ,2013
31,9781409312369,The three little pigs ,Based on a traditional folk tale ; retold by Nicola Baxter  ,Ladybird ,2012
32,9781444001204,Horrid Henry and the demon dinner lady ,Francesca Simon; ill. by Tony Ross ,Orion Children's ,2013
33,9781444780444,The October list ,Jeffery Deaver ,Hodder & Stoughton ,2013
34,9781408327456,Summer the Holiday Fairy ,Daisy Meadows; ill. by Georgie Ripper ,Orchard ,2013
35,9781408327432,Belle the birthday fairy ,Daisy Meadows ,Orchard ,2013
36,9781904550730,Hansel and Gretel ,"Alison Edgson, Andrea Petrlik and Jess Stockham ",Child's Play ,2005
37,9781848956650,It's my turn! ,David Bedford; ill. by Elaine Field ,Little Tiger ,2013
38,9780091953850,No man's nightingale ,Ruth Rendell ,Hutchinson ,2013
39,9781847445698,A sister's courage ,Catherine King ,Sphere ,2013
40,9780755378432,Things we never say ,Sheila O'Flanagan ,Headline Review ,2013
41,9781409113997,A week in winter ,Maeve Binchy ,Orion ,2012
42,9780141343006,Cabin fever ,Jeff Kinney ,Puffin ,2013
43,9781409535928,The runaway princess ,Rosie Dickins; ill. by Elodie Coudray ,Usborne ,2013
44,9781849837057,Daddy's gone a-hunting ,Mary Higgins Clark ,Simon & Schuster ,2013
45,9781444743531,Something in common ,Roisin Meaney ,Hachette Books Ireland ,2013
46,9780434021161,Bones of the lost ,Kathy Reichs ,William Heinemann ,2013
47,9781780890104,Gone ,James Patterson ; Michael Ledwidge ,Century ,2013
48,9781848956643,Fred ,Linda Jennings; ill. by Basia Bogdanowicz ,Little Tiger ,2013
49,9781444765564,Sycamore Row ,John Grisham ,Hodder & Stoughton ,2013
50,9781409551690,Little Red Riding Hood ,Retold by Susanna Davidson; based on a story by the Brothers Grimm,Usborne ,2013
51,9780723272878,Little creatures , ,Ladybird ,2013
52,9780755392681,Can't take my eyes off you ,Clare Dowling ,Headline Review ,2013
53,9780141341446,Four children and It ,Jacqueline Wilson ,Puffin ,2013
54,9781848956667,Rosie's special surprise ,Julia Rawlinson; ill. by Tim Warnes ,Little Tiger ,2013
55,9780552778091,The unlikely pilgrimage of Harold Fry ,Rachel Joyce ,Black Swan ,2013
56,9780749013899,Heir to greyladies ,Anna Jacobs ,Allison & Busby ,2013
57,9781409312154,My mummy , ,Ladybird ,2012
58,9781471125836,Wrongful death ,Lynda La Plante ,Simon & Schuster ,2013
59,9781444011371,Horrid Henry and the bogey babysitter ,Francesca Simon; ill. by Tony Ross ,Orion Children's Books ,2013
60,9780141047805,My husband next door ,Catherine Alliott ,Penguin ,2013
61,9781848271234,The rose garden ,Marita Conlon-McKenna ,Transworld Ireland ,2013
62,9780091952945,The servant girl ,Maggie Hope ,Ebury Press ,2013
63,9780007453535,Ratburger ,David Walliams ,HarperCollins Children's ,2012
64,9781444728934,Theodore Boone: the activist ,John Grisham ,Hodder & Stoughton ,2013
65,9781444704921,Children of the revolution ,Peter Robinson ,Hodder & Stoughton ,2013
66,9780751551648,Shades of deceit ,Mary Larkin ,Sphere ,2013
67,9780141346434,Danny the champion of the world   ,Roald Dahl ,Puffin ,2013
68,9781408842423,And the mountains echoed ,Khaled Hosseini ,Bloomsbury ,2013
69,9781848956674,What Bear Likes Best ,Alison Ritchie ,Magi/Little Tiger Press ,2013
70,9781846165801,The ugly duckling ,Ian Beck; orig. story by Hans Christian Andersen ,Orchard ,2007
71,9780593070154,Wedding night ,Sophie Kinsella ,Bantam ,2013
72,9780593063194,Winners ,Danielle Steel ,Bantam ,2013
73,9781780890135,Cross my heart ,James Patterson ,Cornerstone Digital ,2013
74,9781848956766,The wish cat ,Ragnhild Scamell; ill. by Gaby Hansen ,Little Tiger ,2013
75,9780007419890,The broken man ,Josephine Cox ,HarperCollins ,2013
76,9780099562597,The workhouse girl ,Dilly Court ,Arrow Books ,2013
77,9781408308448,Twelve dancing princesses ,Saviour Pirotta; ill. by Cecilia Johansson ,Orchard ,2013
78,9780755356997,Pray for the dying ,Quintin Jardine ,Headline ,2013
79,9780593065723,A wanted man ,Lee Child ,Bantam ,2012
80,9780751551716,Already dead ,Stephen Booth ,Sphere ,2013
81,9781848956735,Hopping mad! ,Michael Catchpool; ill. by David Roberts ,Little Tiger ,2013
82,9781405262125,Alfie's great escape ,Kate Irwin  ,Blue Bananas ,2013
83,9781848956728,"Where there's a bear, there's trouble! ",Michael Catchpool; ill.by Vanessa Cabban ,Little Tiger ,2013
84,9781444758566,The corporal's wife ,Gerald Seymour ,Hodder & Stoughton ,2013
85,9780755332281,The winter gathering ,Deirdre Purcell ,Headline Review ,2013
86,9781848956698,Newton ,Rory Tyger ,Little Tiger ,2013
87,9781904994862,Guinness World Records 2013 , ,Guinness World Records ,2012
88,9781846430756,Puss in Boots ,Jess Stockham ,Child's Internationa Play ,2007
89,9781409115052,A tap on the window ,Linwood Barclay ,Orion ,2013
90,9780141346458,Charlie and the chocolate factory ,Roald Dahl; ill. by Quentin Blake ,Puffin ,2013
91,9781444761245,The trader's gift ,Anna Jacobs ,Hodder & Stoughton ,2013
92,9781409322320,WOW Dinosaur ,D Palmer ,Dorling Kindersley ,2013
93,9780141331249,The Twits ,Roald Dahl; ill. by Quentin Blake ,Puffin ,2010
94,9781444007299,Blood and guts and rats' tail pizza ,Vivian French; ill. by Chris Fisher ,Orion Children's Books ,2013
95,9780230769151,W is for wasted ,Sue Grafton ,Mantle ,2013
96,9780141346441,Fantastic Mr Fox ,Roald Dahl; ill. by Quentin Blake ,Puffin ,2013
97,9781848956742,Little Mouse and the big red apple ,AH Benjamin; ill. by Gwyneth Williamson ,Little Tiger ,2013
98,9781409550587,Snow White and the seven dwarfs ,Lesley Sims; ill. by John Joven ,Usborne ,2013
99,9780141346410,The witches ,Roald Dahl; ill. by Quentin Blake ,Puffin Books ,2013
100,9780141346427,The BFG ,Roald Dahl; ill. by Quentin Blake ,Puffin ,2013
